,Iteration: Iteration,Continuity: Continuity,Energy: Energy,Isentropic Efficiency Monitor: Expression,MFA Ps 1 Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Ps 3 Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Ps Outlet Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Pt Inlet Monitor: Mass Flow Averaged of Absolute Total Pressure (Pa),MFA Pt Outlet Monitor: Mass Flow Averaged of Absolute Total Pressure (Pa),MFA Tt Inlet Monitor: Mass Flow Averaged of Total Temperature (K),MFA Tt Outlet Monitor: Mass Flow Averaged of Total Temperature (K),Mass Flow  Volute Monitor: Mass Flow of Mass Flow Rate (lb/s),Mass Flow Error Monitor: Expression,Mass Flow Impeller Monitor: Mass Flow of Mass Flow Rate (lb/s),PRts Monitor: Expression,Sdr: Sdr,Tke: Tke,Torque Monitor: Moment (N-m),X-momentum: X-momentum,Y-momentum: Y-momentum,Z-momentum: Z-momentum,Iteration: Iteration,Physical Time: Physical Time (s)
1,1,0.921786008,0.912324986,,101324.9398,101324.9885,0,101325,0,298.0000016,0,0,,-3.10E-10,,1.12E-07,1,-0.018262232,1,1,1,1,
2,2,0.931198633,0.927862567,,101324.7265,101324.9799,126631.117,101325,126656.2532,298.1030449,298.0169179,-0.023459415,,-8.21E-06,,1,0.092021122,-0.054549832,0.834686979,0.990907643,0.864615831,2,
3,3,0.970205595,0.967515217,,101324.4065,101324.977,126589.9994,101325,126656.2862,298.2014503,298.0446201,-0.037748318,,-9.21E-06,,0.60797214,0.09046791,-0.061269223,0.810068881,0.985561497,0.84266441,3,
4,4,0.98221443,0.980923117,,101323.9883,101324.9858,126560.654,101324.9999,126656.3293,298.2953677,298.0644144,-0.045798839,,-9.26E-06,,0.366324295,0.090986771,-0.06990066,0.787927067,0.984059357,0.821665823,4,
5,5,1,1,,101323.4909,101325.01,126521.6646,101324.9999,126656.3841,298.3374729,298.0907197,-0.054510813,,-1.14E-05,,0.211907591,0.091425097,-0.080205217,0.764818559,0.980718478,0.798812538,5,
6,6,1.03379735,1.034568839,,101322.9315,101325.0553,126463.4053,101325,126656.4685,298.4239946,298.1300491,-0.065300857,,-1.12E-05,,0.114074001,0.091419535,-0.091479387,0.738712811,0.974877952,0.772891047,6,
7,7,1.083922713,1.08499924,,101322.324,101325.1247,126378.898,101325.0026,126656.5994,298.4704197,298.1871462,-0.078323531,,-1.24E-05,,0.056668541,0.090906734,-0.103783189,0.709263731,0.966947489,0.743591656,7,
8,8,1.154083045,1.1547905,,101321.6885,101325.2241,126257.3593,101325.005,126656.8274,298.5872154,298.2693807,-0.093898083,,-1.01E-05,,0.032135201,0.089876237,-0.118473917,0.676416542,0.956542565,0.711533541,8,
9,9,1.251572111,1.251192365,,101321.0375,101325.358,126082.706,101325.0098,126657.2365,298.6608289,298.3877981,-0.112502628,,-9.41E-06,,0.018652842,0.088329008,-0.135980751,0.640737127,0.943145162,0.677668257,9,
10,10,1.380960525,1.378839714,,101320.387,101325.5425,125831.9016,101325.0095,126658.0238,298.6883986,298.5583674,-0.134699042,,-1.03E-05,,0.010278287,0.08629093,-0.156843416,0.603605445,0.925609892,0.643978752,10,
11,11,1.546636716,1.542407231,,101319.7573,101325.7801,125475.038,101325.0151,126659.55,298.7782321,298.8021257,-0.161005713,,-7.97E-06,,0.005190542,0.083807695,-0.181851711,0.567320325,0.902699975,0.613624314,11,
12,12,1.723403173,1.71765659,,101319.173,101326.0835,125017.9369,101325.0171,126662.3112,298.7175497,299.11617,-0.189935769,,-1.29E-05,,0.00297956,0.081017463,-0.211458556,0.532461446,0.874521288,0.585782245,12,
13,13,1.901245672,1.894547452,,101318.6626,101326.4275,124451.5838,101325.0277,126667.0354,298.8083791,299.5081458,-0.220729892,,-9.30E-06,,0.002075419,0.077973289,-0.242324772,0.503987381,0.841489526,0.567143279,13,
14,14,2.053710616,2.047621664,,101318.2612,101326.8299,123808.056,101325.0505,126674.4463,298.9476363,299.9577092,-0.250793387,,-3.10E-06,,0.001727544,0.074704023,-0.274208996,0.48140976,0.805596512,0.558806765,14,
15,15,2.175739534,2.171021457,,101318.0116,101327.336,123096.8282,101325.0625,126685.4222,299.0147437,300.459986,-0.279940027,,-2.40E-07,,0.001663353,0.071244052,-0.307953505,0.462153032,0.769107513,0.556960422,15,
16,16,2.267623154,2.263519893,,101317.9595,101327.9543,122318.5112,101325.0787,126701.1151,299.021319,301.0164739,-0.308339868,,3.42E-08,,0.001670011,0.067628713,-0.344339907,0.445074661,0.735091192,0.558753076,16,
17,17,2.34395272,2.342864508,,101318.1509,101328.6479,121442.3203,101325.114,126723.7323,299.2068031,301.6518452,-0.337058596,,8.77E-06,,0.001689842,0.063890956,-0.383069917,0.43292986,0.701215224,0.564795113,17,
18,18,2.426391974,2.435616825,,101318.6176,101329.4252,120411.3183,101325.1428,126757.308,299.2919654,302.4118959,-0.367504527,,1.30E-05,,0.001722676,0.060063675,-0.421996547,0.427218563,0.665836187,0.575201269,18,
19,19,2.546619198,2.574492934,,101319.3935,101330.327,119182.9378,101325.1715,126807.591,299.3238814,303.3355052,-0.400206034,,1.54E-05,,0.001897547,0.056183559,-0.457461055,0.426837363,0.63501119,0.588189252,19,
