,Iteration: Iteration,Continuity: Continuity,Energy: Energy,Isentropic Efficiency Monitor: Expression,MFA Ps 1 Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Ps 3 Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Ps Outlet Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Pt Inlet Monitor: Mass Flow Averaged of Absolute Total Pressure (Pa),MFA Pt Outlet Monitor: Mass Flow Averaged of Absolute Total Pressure (Pa),MFA Tt Inlet Monitor: Mass Flow Averaged of Total Temperature (K),MFA Tt Outlet Monitor: Mass Flow Averaged of Total Temperature (K),Mass Flow  Volute Monitor: Mass Flow of Mass Flow Rate (lb/s),Mass Flow Error Monitor: Expression,Mass Flow Impeller Monitor: Mass Flow of Mass Flow Rate (lb/s),PRts Monitor: Expression,Sdr: Sdr,Tke: Tke,Torque Monitor: Moment (N-m),X-momentum: X-momentum,Y-momentum: Y-momentum,Z-momentum: Z-momentum,Iteration: Iteration.1,Physical Time: Physical Time (s)
1173,1174,0.383212847412197,0.420970672640174,0.775327566678899,99415.0978749788,114971.289616326,131722.5,101325.0,138449.135675092,298.0,333.856304977945,0.32908712523297,0.0456480964711265,-0.0523441540654883,1.3,0.0002419746126029,0.0005503781086898,-0.0873293775081782,0.0799135365611428,0.186664511408346,0.117270704029977,1174,
1174,1175,0.319417385431879,0.350766473548734,0.765393676073138,99419.5828624736,115084.557137855,131722.5,101325.0,138342.553024517,298.0,334.22802532617,0.325440716370248,0.0404364415239131,-0.0520468419788737,1.3,0.0002761797367587,0.0057666990113401,-0.0873017141268209,0.0660193724361992,0.16142578999991,0.0976212543420447,1175,
1175,1176,0.245708636598518,0.269801648727007,0.756424901024302,99420.9001814215,115128.951560969,131722.5,101325.0,138075.734949398,298.0,334.420118772076,0.316311013479474,0.0132507354670711,-0.0520199433190894,1.3,0.0002133611484404,0.0121581950367605,-0.0873275155533225,0.0538339934301133,0.141002490122407,0.0800145437543295,1176,
1176,1177,0.174826655794964,0.19198728331544,0.748398551894805,99421.3258148004,115147.297632258,131722.5,101325.0,137802.261837864,298.0,334.564381936007,0.306721727557036,0.0174404009564942,-0.0520118462446166,1.3,0.0001418056692317,0.0163270841965962,-0.0873429569880362,0.0476322330253809,0.123714444505904,0.0707710689201862,1177,
1177,1178,0.123851299609262,0.136141901137206,0.741210471419091,99421.7877127336,115166.311975219,131722.5,101325.0,137537.771137136,298.0,334.678087771176,0.297173891772826,0.0500643589045911,-0.0520086186912691,1.3,0.0001254512179132,0.0175717187353816,-0.0873501702765085,0.0466267361858503,0.108727391196006,0.0699289097759853,1178,
1178,1179,0.110496261642973,0.121713859085688,0.735046069096444,99422.2908227075,115186.269323616,131722.5,101325.0,137317.564410667,298.0,334.783194090432,0.288998720505298,0.0796998569853222,-0.0520053128664185,1.3,0.0001032100047506,0.0173618103818553,-0.0873560743203946,0.0495246591213959,0.0955742655320242,0.0747860634918157,1179,
1179,1180,0.129516880149664,0.1427869893432,0.729773448696876,99422.838632747,115207.407290885,131722.5,101325.0,137135.727683258,298.0,334.880360564256,0.282083838514929,0.106094664102927,-0.0520019047685058,1.3,8.66270829857573e-05,0.0164863922746453,-0.0873609012244477,0.053806103166819,0.0840506292097982,0.0814097505331682,1180,
1180,1181,0.158231522843844,0.174427568345058,0.725269886406325,99423.4342815951,115229.968017292,131722.5,101325.0,136986.761600681,298.0,334.970275720816,0.276306147512614,0.129146808373045,-0.0519983674329533,1.3,7.49194979749854e-05,0.0156779446707768,-0.0873648474905717,0.0580308347170816,0.0739243081288825,0.0876481030936566,1181,
1181,1182,0.18420535601455,0.203020716613293,0.721432952639405,99424.0665158356,115253.860368736,131722.5,101325.0,136865.951719618,298.0,335.053418795159,0.271543399930842,0.148870110296437,-0.051994682638136,1.3,6.7013084599524e-05,0.0150689613908627,-0.087368108964999,0.061513569665535,0.0650321278501442,0.0926187284809694,1182,
1182,1183,0.203227815246171,0.223953734071243,0.718226554861365,99424.8797462383,115283.630156615,131722.5,101325.0,136770.986317029,298.0,335.129182739403,0.267723093742609,0.165180250975804,-0.051990943593172,1.3,6.58114868218095e-05,0.0144056688270534,-0.0873703807481826,0.0636588489121543,0.0571820535765212,0.0956008363670505,1183,
1183,1184,0.215412944463296,0.237362587945866,0.715491724815385,99425.7670361767,115315.895556533,131722.5,101325.0,136698.829277321,298.0,335.202689927672,0.264826632137138,0.177819969546705,-0.05198634929982,1.3,5.99070057272665e-05,0.0142143520850029,-0.0873738888992875,0.0653969132188609,0.05032754476899,0.0977524423151092,1184,
1184,1185,0.220943671664086,0.243442968113692,0.713180550103479,99426.7344422521,115350.767203029,131722.5,101325.0,136643.499804561,298.0,335.270605813011,0.262602248947795,0.18768514711711,-0.0519814651124743,1.3,5.70333104607772e-05,0.0141683003384548,-0.087377393598611,0.0662989473931106,0.0443406935695444,0.0985807841325326,1185,
1185,1186,0.221051061738701,0.243551582133615,0.711235699419217,99427.7823120098,115388.163423052,131722.5,101325.0,136602.679754671,298.0,335.333565277027,0.26096333396113,0.195024476753717,-0.0519762619364676,1.3,5.53431917698037e-05,0.0142547217855654,-0.0873810355377968,0.0665825336026023,0.0391326464941246,0.0983720406808383,1186,
1186,1187,0.216822493157566,0.238885134773328,0.709619660092885,99428.8934070776,115427.471661227,131722.5,101325.0,136574.362242939,298.0,335.39149550662,0.259829476584469,0.200112426726253,-0.0519707639464665,1.3,5.39759705652714e-05,0.0143393979706211,-0.0873847826487941,0.0662517740613883,0.0345959602730308,0.0972477882789146,1187,
1187,1188,0.209137206008555,0.230411239359432,0.708329608165669,99430.2829926543,115474.739018209,131722.5,101325.0,136557.988715574,298.0,335.443900596188,0.259175397382939,0.203010012809047,-0.0519650996875733,1.3,5.51973252180874e-05,0.0142288563733794,-0.0873883604680412,0.0652289852170181,0.0306267066686181,0.0952189363601698,1188,
1188,1189,0.198955013291751,0.219189413426312,0.707315142871724,99431.8372196224,115526.137723989,131722.5,101325.0,136554.387054207,298.0,335.494147000382,0.259054697369379,0.203410681037953,-0.0519581982978942,1.3,5.54157992625039e-05,0.0142165124100052,-0.0873934943359952,0.0640403279170483,0.0271641123389236,0.0928292902479542,1189,
1189,1190,0.187575187818655,0.206647709036018,0.706439376234703,99433.5079614817,115580.110790896,131722.5,101325.0,136556.528093361,298.0,335.542686019722,0.259184751672159,0.202626695295456,-0.0519504168957437,1.3,5.4944535333188e-05,0.0145621130429527,-0.0873997713391623,0.0631866050881529,0.0242092721668816,0.0906072191455409,1190,
1190,1191,0.17512868414283,0.192931651325725,0.705769231454296,99435.5883802172,115643.332302759,131722.5,101325.0,136564.87268122,298.0,335.586361485671,0.259561482427768,0.200692257170483,-0.0519422437017855,1.3,5.52861352982949e-05,0.0146898519910499,-0.0874061444867895,0.0619307936523077,0.0216319219668489,0.0880315961831632,1191,
1191,1192,0.162179789205611,0.178663468234855,0.705292198143795,99437.8600393018,115709.643976193,131722.5,101325.0,136582.288418523,298.0,335.628548251505,0.260316151424517,0.196979052024822,-0.0519321633598114,1.3,5.5631145966585e-05,0.014788122037731,-0.0874139356212996,0.0606346632834891,0.0193808284605613,0.0853817192737347,1192,
1192,1193,0.149407572467743,0.164590775065643,0.704938358261917,99440.5585266912,115783.453836841,131722.5,101325.0,136603.273303734,298.0,335.667644292842,0.261212103903395,0.192620196576672,-0.0519211384509121,1.3,5.65449248892303e-05,0.0148787466911027,-0.0874221272999254,0.0593887739070738,0.0174388771692241,0.0828083229517243,1193,
